26181063	23513	0.7200
242094	26181063	0.4800
22685449	638643	0.5300
2629394	78255	0.3500
640668	38883136	0.4800
666961	454886	0.3900
6445174	589341	0.4300
2589914	666961	0.2300
171578	314993	0.1900
104540	12384034	0.2300
23513	4692150	0.3100
5563535	314993	0.1600
454886	1567690	0.1900
2629394	18400893	0.2100
523904	640668	0.3000
1781778	40829	0.1900
640668	5171868	0.1300
233946	523904	0.3100
28133	171578	0.1400
12977222	322020	0.2000
104540	599741	0.7900
233946	1214623	0.2900
589341	1781778	0.1800
33663	38883136	0.3100
5563535	23513	0.4000
2841181	23513	0.1900
314993	20288830	0.1850
233946	7258	0.2200
1781778	314993	0.3300
242094	48260	0.3000
48260	1567690	0.1800
957329	12977222	0.1600
38883136	26181063	0.2700
18290	242094	0.3500
22685449	1214623	0.2600
32184914	7845360	0.2500
7795161	454886	0.3100
25481	523904	0.1400
589341	23513	0.3000
4692150	7258	0.1400
7258	33663	0.1900
233946	12384034	0.2400
144048	233946	0.2200
7795161	589341	0.4000
2558477	3297211	0.1800
233946	20288830	0.2800
11918107	242094	0.5900
32184914	665256	0.2600
2629394	23513	0.2400
50378684	1214623	0.3800
40829	17344601	0.2500
2629394	5171868	0.1600
18290	105070	0.2600
7258	2841181	0.3300
242094	7258	0.3900
314993	233946	0.2600
3297211	148127	0.4600
665256	50378684	0.1100
233946	1781778	0.1800
144048	18400893	0.2100
2558477	1781778	0.1700
957329	38883136	0.1400
523904	734582	0.1300
314993	26181063	0.3000
233946	14370620	0.2200
733668	17747	0.2300
733668	734582	0.0700
1486231	2558477	0.2600
9214368	2841181	0.1300
734582	2180364	0.0900
5563535	3297211	0.1300
1727343	104540	0.1000
28133	7795161	0.1900
4692150	1567690	0.1400
21758063	7795161	0.1200
233946	2629394	0.1100
242094	5563535	0.1300
3727061	26181063	0.5600
242094	1727343	0.2800
1781778	3297211	0.1900
665256	322020	0.1300
3297211	33663	0.7800
38883136	314993	0.1700
2562893	18290	0.1800
666961	233946	0.2300
314993	1781778	0.3300
