7878457	16608	7.62
16043	9282173	8.46
22915	12558	8.11
78478	205135	7.53
166346	5165	5.63
8376	29392	3.94
8376	191061	7.53
5165	6784	7.31
22915	3488351	5.75
37039	9630	8.81
8485	23976719	8.62
166346	4207510	8.59
8983183	19360669	8.50
7878457	5309	8.50
18949668	17541	8.38
33978	246077	8.34
36934	6921567	8.31
21830	37039	8.31
11127	5508063	8.31
8983183	192617	8.27
22921	26743	8.21
20781999	4692150	8.16
33158	195091	8.13
22939	23317	8.12
19360669	8983183	8.12
19372783	21616056	8.08
22915	5267	8.06
45073	244681	8.06
14276	962793	8.03
49402	38180	8.00
57875	22348	7.94
22915	580	7.94
22915	27667	7.92
21555729	20913771	7.92
197042	4290854	7.91
73165	83430	7.85
8983183	208849	7.73
29831	21555729	7.72
22921	19378	7.69
18723138	140801	7.69
3568461	267306	7.69
16043	3624191	7.65
40390166	10828	7.65
4243	1305459	7.61
7878457	14539	7.58
8983183	23626	7.57
29773	162448	7.56
30003	5177	7.50
5665	21616056	7.50
22921	106238	7.48
26866	18842323	7.47
3778	16861908	7.46
3778	17727	7.46
22921	90460	7.42
21555729	26808	7.38
407384	64493	7.38
8100	18487619	7.38
8983183	1440136	7.29
41395970	7984	7.25
22921	80381	7.23
29392	37335	7.16
332730	233048	7.13
4918223	19372783	7.08
625404	18994221	7.03
101757	15176	7.03
18723138	19045066	7.03
22921	922	7.00
18723138	17071940	6.97
11127	84777	6.94
8983183	2541595	6.88
22921	10828	6.85
9311172	424739	6.85
236918	201480	6.81
7878457	173351	6.78
17547	26805	6.77
1467948	4129813	6.75
21555729	161227	6.73
40390166	24702	6.73
951407	49402	6.72
17541	20550772	6.69
257215	484939	6.69
23004	18949668	6.65
19529	23995	6.63
22921	832314	6.58
41395970	604727	6.58
33306	1276437	6.56
12229	492128	6.56
27667	38714	6.53
41930	239121	6.48
1549092	146334	6.47
858660	13673345	6.47
30677	8643980	6.46
181592	211295	6.44
22921	662249	6.42
38076	718020	6.41
2781587	144425	6.38
32441	316723	6.34
4207510	19372783	6.34
56231	382507	6.34
490205	27667	6.34
26145	21690	6.31
4098495	419369	6.27
368398	6801	6.25
21830	15822899	6.25
10401954	378010	6.25
8137	1209	6.25
10646	11653201	6.22
1135905	38714	6.19
21555729	232176	6.19
1950213	26372087	6.19
18723138	28012	6.19
8100	41969	6.09
33496	66505	6.06
477822	50482	6.03
25996	2414	6.00
1558839	14276	6.00
10680593	1638839	6.00
18723138	1305459	5.97
3850	24873453	5.97
7984	9293603	5.96
18393	668100	5.94
239196	8983183	5.94
9649	492128	5.94
42446	1985071	5.91
5969588	37720113	5.91
41395970	18993825	5.90
545006	2541595	5.88
30075	9096372	5.87
163941	13673345	5.85
8983183	17898	5.65
29392	21830	5.63
153987	611250	5.63
14640471	26997	5.63
1014	5180	5.54
56285	8221	5.47
162941	352801	5.44
2414	2241167	5.41
37842745	1031118	5.34
43537463	751115	5.31
1340239	937531	5.31
45073	18985062	5.31
37842745	50510	5.28
8221	1641678	5.25
662249	101757	5.19
1659824	146738	5.16
9649	173351	5.09
214196	44417	5.06
8221	31392139	5.03
419369	22589	5.00
41395970	10646	5.00
41298	220028	4.97
199065	128987	4.94
13673345	159472	4.94
27667	5180	4.88
19039812	307907	4.81
1449866	532523	4.75
24702	179824	4.75
7818	9649	4.75
169835	19159508	4.69
25078911	155526	4.62
5508063	239107	4.59
71925	1031118	4.56
18393	180184	4.50
1567690	63904	4.47
7878457	20781999	4.47
632347	1305558	4.47
3107571	4098495	4.46
22649	21296224	4.38
5236	1408983	4.38
545006	1048636	4.25
4498	15270	4.25
1559961	24702	4.25
7818	2973525	4.13
1567690	34341	4.06
82278	18393	4.06
148127	381055	3.97
20913771	10772350	3.91
19039812	702945	3.88
18487619	1638839	3.88
37298	29678	3.88
47912	651358	3.88
23004	18985062	3.85
21296224	5881	3.78
22949	148127	3.75
19372783	28508507	3.73
24702	202899	3.69
43254	19728	3.69
2403669	24702	3.69
202899	205135	3.69
4692150	3371756	3.63
18839	160483	3.63
208159	28012	3.56
297724	18839	3.47
28022	39391	3.44
6412297	20354	3.38
10680593	368398	3.38
43254	20981836	3.31
8983183	41453	3.31
41012	20781999	3.31
56231	236975	3.25
463828	294833	3.19
5881	21754	3.16
5236	11090	3.15
47777152	66986	3.08
7984	13673345	3.04
24110	375211	3.00
77182	8874700	3.00
3170971	2254334	2.97
24702	15176	2.94
14640471	33306	2.94
37298	3371756	2.88
23004	106238	2.81
10680593	239107	2.75
76323	15176	2.69
50965	8643980	2.69
7984	83430	2.65
22348	14543	2.63
30874303	70210	2.56
2781587	28743391	2.56
23004	6084	2.50
41395970	19378550	2.40
28130	17635795	2.38
1467948	37575	2.38
42446	77432	2.31
378364	5308	2.25
54634	20781999	2.22
12581	901903	2.08
63752	66986	2.08
142919	1723133	1.94
41395970	26979	1.92
11090	63752	1.85
19372783	484939	1.81
20354	14276	1.81
9649	214196	1.81
23004	25874441	1.77
368398	2175301	1.75
19372783	30003	1.62
12178732	26805	1.62
19372783	6429	1.31
7984	768413	1.31
41012	25613	1.19
19372783	18393	0.92
19372783	16217	0.92
419369	27992	0.92
3107571	991766	0.92
27712	26458576	0.88
26574	2173925	0.62
209005	193060	0.54
6959	187557	0.54
20646803	164491	0.31
19012	55115	0.23
