16043	9282173	8.46
22915	12558	8.11
78478	205135	7.53
166346	5165	5.63
8376	29392	3.94
8376	191061	7.53
5165	6784	7.31
22915	3488351	5.75
8485	23976719	8.62
166346	4207510	8.59
8983183	19360669	8.50
7878457	5309	8.50
18949668	17541	8.38
8983183	192617	8.27
22921	26743	8.21
20781999	4692150	8.16
33158	195091	8.13
22939	23317	8.12
19360669	8983183	8.12
22915	5267	8.06
49402	38180	8.00
57875	22348	7.94
22915	580	7.94
22915	27667	7.92
21555729	20913771	7.92
73165	83430	7.85
29831	21555729	7.72
22921	19378	7.69
18723138	140801	7.69
7878457	14539	7.58
8983183	23626	7.57
30003	5177	7.50
22921	106238	7.48
26866	18842323	7.47
3778	16861908	7.46
3778	17727	7.46
21555729	26808	7.38
407384	64493	7.38
41395970	7984	7.25
22921	80381	7.23
29392	37335	7.16
4918223	19372783	7.08
625404	18994221	7.03
18723138	19045066	7.03
22921	922	7.00
11127	84777	6.94
22921	10828	6.85
9311172	424739	6.85
236918	201480	6.81
7878457	173351	6.78
17547	26805	6.77
21555729	161227	6.73
951407	49402	6.72
17541	20550772	6.69
257215	484939	6.69
23004	18949668	6.65
22921	832314	6.58
41395970	604727	6.58
33306	1276437	6.56
12229	492128	6.56
27667	38714	6.53
181592	211295	6.44
32441	316723	6.34
4207510	19372783	6.34
56231	382507	6.34
21830	15822899	6.25
10401954	378010	6.25
21555729	232176	6.19
33496	66505	6.06
477822	50482	6.03
3850	24873453	5.97
7984	9293603	5.96
18393	668100	5.94
239196	8983183	5.94
9649	492128	5.94
30075	9096372	5.87
29392	21830	5.63
14640471	26997	5.63
1014	5180	5.54
56285	8221	5.47
9649	173351	5.09
214196	44417	5.06
8221	31392139	5.03
419369	22589	5.00
41395970	10646	5.00
199065	128987	4.94
13673345	159472	4.94
27667	5180	4.88
24702	179824	4.75
7818	9649	4.75
7878457	20781999	4.47
22649	21296224	4.38
5236	1408983	4.38
7818	2973525	4.13
20913771	10772350	3.91
23004	18985062	3.85
21296224	5881	3.78
24702	202899	3.69
43254	19728	3.69
202899	205135	3.69
18839	160483	3.63
297724	18839	3.47
6412297	20354	3.38
43254	20981836	3.31
56231	236975	3.25
5881	21754	3.16
5236	11090	3.15
7984	13673345	3.04
24110	375211	3.00
24702	15176	2.94
14640471	33306	2.94
23004	106238	2.81
7984	83430	2.65
22348	14543	2.63
30874303	70210	2.56
1467948	37575	2.38
42446	77432	2.31
63752	66986	2.08
11090	63752	1.85
19372783	484939	1.81
20354	14276	1.81
9649	214196	1.81
19372783	30003	1.62
12178732	26805	1.62
19372783	6429	1.31
7984	768413	1.31
19372783	18393	0.92
419369	27992	0.92
20646803	164491	0.31
19012	55115	0.23
