5575722	26805	9.44
8983183	55336	9.15
8983183	55336	9.08
8983183	5665	9.04
199065	1006179	8.88
558685	9630	8.81
238150	556358	8.79
26866	46310	8.7
19159	50510	8.66
8485	10568	8.62
166346	4207510	8.59
19012	887147	8.58
20171	7397035	8.53
8983183	19360669	8.5
7878457	5309	8.5
16043	9282173	8.46
32787	12988	8.46
22915	26808	8.45
239121	5926	8.44
8983183	8100	8.42
18949668	17541	8.38
3884434	146996	8.36
26866	10646	8.34
33978	73231	8.34
11127	37297	8.31
21830	558685	8.31
15822899	33183	8.3
8983183	192617	8.27
22921	26743	8.21
20781999	4692150	8.16
32787	45189	8.13
33158	195091	8.13
18426501	34273	8.13
19360669	8983183	8.12
22939	23317	8.12
22915	12558	8.11
19372783	3736784	8.08
22921	18973869	8.08
22915	19331	8.08
22915	5267	8.06
22915	26751	8.02
30075	16217	8
30075	11302	8
49402	38180	8
22915	580	7.94
21555729	77819	7.92
22915	27667	7.92
18993825	33306	7.89
18393	8221	7.88
73165	83430	7.85
904	19042	7.83
46310	10646	7.81
8100	34392	7.78
33550	11090	7.73
8983183	30873450	7.73
29831	21555729	7.72
22921	19378	7.69
18723138	140801	7.69
16043	23267	7.65
34289	30636	7.65
41930	3648961	7.63
7878457	18842281	7.62
5881	34341	7.59
25423	15613	7.59
7878457	14539	7.58
8983183	23626	7.57
29773	52664	7.56
78478	205135	7.53
8376	191061	7.53
10646	10843	7.52
30003	5177	7.5
5665	3736784	7.5
22921	106238	7.48
49132	89276	7.47
26866	18842323	7.47
3778	16861908	7.46
3778	17727	7.46
3966054	3383	7.44
19641	15368428	7.42
22921	8389	7.42
16217	6678	7.42
21555729	5796	7.38
3410	198041	7.38
30075	6678	7.35
22939	5180	7.35
5165	6784	7.31
8983183	24189	7.29
147676	13673345	7.27
22921	80381	7.23
37585	20913771	7.19
29392	37335	7.16
30003	30677	7.13
332730	15037	7.13
3410	26574	7.1
4918223	19372783	7.08
30075	6543	7.08
625404	18994221	7.03
1210255	15176	7.03
18723138	19045066	7.03
30075	11039790	7
22921	922	7
11127	84777	6.94
199065	948686	6.88
22348	224515	6.88
7984	212818	6.87
9311172	424739	6.85
30075	18838	6.85
22921	10828	6.85
155526	20646803	6.81
10568	3921	6.81
236918	201480	6.81
7878457	173351	6.78
17547	27546	6.77
29831	15368428	6.77
34289	24702	6.73
21555729	161227	6.73
951407	49402	6.72
22921	26700	6.71
257215	484939	6.69
4092	51273	6.69
17541	2001231	6.69
23004	18949668	6.65
10568	29773	6.63
739237	23996	6.63
20646803	8881	6.62
22921	832314	6.58
33306	1276437	6.56
12229	492128	6.56
27667	38714	6.53
186932	3434750	6.5
251887	13673345	6.47
181592	211295	6.44
22921	23315	6.42
28238	27667	6.34
4207510	19372783	6.34
32441	316723	6.34
30598	13673345	6.31
21830	15822899	6.25
27978	157898	6.22
36969	46183	6.19
21555729	232176	6.19
33496	66505	6.06
3850	690345	5.97
7984	9293603	5.96
9649	492128	5.94
239196	8983183	5.94
164491	23501	5.92
47485	47615	5.92
3758871	1531454	5.88
30075	9096372	5.87
46770	13673345	5.77
22915	3488351	5.75
46310	32961	5.7
8983183	19390	5.65
14640471	26997	5.63
340586	49899	5.63
166346	5165	5.63
29392	21830	5.63
30075	722672	5.62
22921	267487	5.58
12581	19042	5.56
1014	5180	5.54
56285	8221	5.47
1698417	18985062	5.31
1131934	937531	5.31
15822899	56231	5.25
23315	1210255	5.19
9649	173351	5.09
782026	24909346	5.06
8221	31392139	5.03
419369	22589	5
23315	46053	5
324572	28831284	4.97
13673345	159472	4.94
199065	128987	4.94
27667	5180	4.88
24702	179824	4.75
1449866	1473135	4.75
7818	2935251	4.75
859401	19159508	4.69
18994221	174521	4.63
71925	27865	4.56
7878457	20781999	4.47
10646	26574	4.42
5236	1408983	4.38
22649	21296224	4.38
7818	2973525	4.13
8376	29392	3.94
20913771	10772350	3.91
19641	29678	3.88
23004	18985062	3.85
21296224	5881	3.78
22949	8449	3.75
202899	205135	3.69
437868	24702	3.69
43254	19728	3.69
297724	18839	3.47
6412297	20354	3.38
8983183	45599	3.31
56231	236975	3.25
5881	21754	3.16
5236	11090	3.15
7984	13673345	3.04
24113	375211	3
14640471	33306	2.94
24702	15176	2.94
23004	106238	2.81
318378	30677	2.69
7984	83430	2.65
22348	14543	2.63
30874303	70210	2.56
42446	77432	2.31
63752	66986	2.08
12581	25152964	2.08
657129	19196010	1.81
9649	214196	1.81
20354	14276	1.81
19372783	30003	1.62
12178732	26805	1.62
19372783	6429	1.31
7984	768413	1.31
419369	27992	0.92
20646803	164491	0.31
19012	55115	0.23
